576.00, 0.0000
575.00, 0.0000
574.00, -0.0015
573.00, -0.0015
572.00, 0.0000
571.00, 0.0000
570.00, 0.0000
569.00, 0.0000
568.00, 0.0000
567.00, -0.0015
566.00, -0.0031
565.00, -0.0015
564.00, 0.0000
563.00, 0.0000
562.00, 0.0000
561.00, -0.0015
560.00, -0.0015
559.00, 0.0000
558.00, 0.0000
557.00, 0.0000
556.00, 0.0000
555.00, 0.0000
554.00, 0.0000
553.00, -0.0015
552.00, -0.0015
551.00, -0.0015
550.00, -0.0031
549.00, -0.0015
548.00, 0.0000
547.00, -0.0015
546.00, -0.0015
545.00, 0.0000
544.00, 0.0000
543.00, -0.0015
542.00, -0.0015
541.00, 0.0000
540.00, 0.0000
539.00, 0.0000
538.00, 0.0000
537.00, 0.0000
536.00, 0.0000
535.00, 0.0000
534.00, 0.0000
533.00, -0.0015
532.00, -0.0015
531.00, 0.0000
530.00, -0.0015
529.00, -0.0015
528.00, 0.0000
527.00, -0.0015
526.00, -0.0031
525.00, -0.0015
524.00, 0.0000
523.00, 0.0000
522.00, 0.0000
521.00, -0.0015
520.00, -0.0031
519.00, -0.0031
518.00, -0.0031
517.00, -0.0015
516.00, 0.0000
515.00, 0.0000
514.00, 0.0000
513.00, 0.0000
512.00, 0.0000
511.00, 0.0000
510.00, 0.0000
509.00, 0.0000
508.00, 0.0000
507.00, 0.0000
506.00, 0.0000
505.00, -0.0015
504.00, -0.0015
503.00, 0.0000
502.00, 0.0000
501.00, 0.0000
500.00, 0.0000
499.00, 0.0000
498.00, 0.0000
497.00, 0.0000
496.00, 0.0000
495.00, 0.0000
494.00, 0.0000
493.00, -0.0015
492.00, -0.0015
491.00, 0.0000
490.00, 0.0000
489.00, 0.0000
488.00, 0.0000
487.00, -0.0015
486.00, -0.0015
485.00, 0.0000
484.00, 0.0000
483.00, 0.0000
482.00, 0.0000
481.00, 0.0000
480.00, 0.0000
479.00, 0.0000
478.00, 0.0000
477.00, 0.0000
476.00, 0.0000
475.00, 0.0000
474.00, -0.0015
473.00, -0.0015
472.00, 0.0000
471.00, 0.0000
470.00, 0.0000
469.00, 0.0000
468.00, 0.0000
467.00, 0.0000
466.00, 0.0000
465.00, 0.0000
464.00, 0.0000
463.00, 0.0000
462.00, 0.0000
461.00, 0.0000
460.00, 0.0000
459.00, 0.0000
458.00, 0.0000
457.00, 0.0000
456.00, 0.0000
455.00, 0.0000
454.00, 0.0000
453.00, 0.0000
452.00, 0.0000
